time,rain
1527973000,0.2
1527973000,0.2
1527974000,0.2
1527974000,0.2
1527974000,0.2
1527975000,0.2
1527975000,0.2
1527976000,0.2
1527976000,0.2
1527977000,0.2
1527978000,0.2
1527979000,0.2
1527980000,0.2
1527981000,0.2
1527982000,0.2
1527984000,0.2
1527985000,0.2
1527985000,0.2
1527986000,0.2
1527986000,0.2
1527986000,0.2
1527987000,0.2
1527988000,0.4
1527988000,0.2
1527988000,0.2
1527989000,0.2
1527993000,0.2
1527993000,0.2
1528000000,0.2
1528002000,0.2
1528029000,0.2
1528031000,0.4
1528032000,0.2
1528033000,0.2
1528033000,0.2
1528034000,0.2
1528036000,0.2
1528036000,0.2
1528036000,0.2
1528037000,0.6
1528099000,0.2
1528100000,0.2
1528103000,0.2
1528114000,0.2
1528115000,0.2
1528116000,0.2
1528119000,0.2
1528119000,0.2
1528119000,0.2
1528120000,0.4
1528120000,0.4
1528120000,0.2
1528121000,0.2
1528121000,0.2
1528122000,0.2
1528122000,0.2
1528123000,0.2
1528124000,0.2
1528126000,0.2
1528127000,0.2
1528127000,0.2
1528129000,0.2
1528129000,0.2
1528130000,0.2
1528131000,0.2
1528132000,0.2
1528138000,0.2
1528160000,0.2
1528188000,0.4
1528190000,0.2
1528192000,0.2
1528230000,0.2
1528232000,0.2
1528233000,0.4
1528234000,0.2
1528234000,0.2
1528234000,0.2
1528234000,0.2
1528235000,0.2
1528236000,0.2
1528236000,0.2
1528237000,0.2
1528238000,0.2
1528238000,0.2
1528239000,0.2
1528240000,0.2
1528240000,0.2
1528241000,0.2
1528241000,0.4
1528242000,0.2
1528243000,0.4
1528243000,1.2
1528244000,0.2
1528244000,0.4
1528244000,0.4
1528244000,0.2
1528245000,0.4
1528245000,0.8
1528245000,0.6
1528246000,0.4
1528246000,0.6
1528246000,0.8
1528246000,0.4
1528247000,0.4
1528247000,0.2
1528247000,0.4
1528248000,0.6
1528248000,0.4
1528248000,0.2
1528249000,0.4
1528249000,0.6
1528249000,0.4
1528250000,0.6
1528250000,0.2
1528250000,0.4
1528250000,0.4
1528251000,0.4
1528251000,0.2
1528251000,0.6
1528252000,0.8
1528252000,0.8
1528252000,0.6
1528252000,0.4
1528253000,0.4
1528253000,0.2
1528253000,0.2
1528254000,0.2
1528254000,0.2
1528255000,0.2
1528255000,0.2
1528255000,0.4
1528256000,0.2
1528256000,0.2
1528256000,0.4
1528256000,0.6
1528257000,0.4
1528257000,0.2
1528258000,0.2
1528258000,0.4
1528258000,0.8
1528258000,0.2
1528259000,0.2
1528259000,0.2
1528259000,0.2
1528262000,0.2
1528263000,0.2
1528264000,0.4
1528265000,0.2
1528265000,0.2
1528266000,0.2
1528268000,0.2
1528268000,0.4
1528270000,0.2
1528273000,0.2
1528274000,0.2
1528275000,0.2
1528276000,0.2
1528278000,0.2
1528279000,0.8
1528279000,0.4
1528280000,0.6
1528280000,0.6
1528280000,0.4
1528280000,0.2
1528281000,0.2
1528281000,0.2
1528284000,0.2
1528285000,0.2
1528285000,0.6
1528286000,1
1528286000,0.8
1528286000,0.4
1528288000,0.4
1528289000,0.2
1528291000,0.4
1528292000,0.4
1528293000,0.4
1528296000,0.2
1528297000,0.2
1528297000,0.2
1528299000,0.2
1528300000,0.2
1528317000,0.2
1528330000,0.2
1528331000,0.4
1528332000,0.2
1528332000,0.2
1528333000,0.2
1528334000,0.2
1528334000,0.2
1528335000,0.2
1528336000,0.2
1528337000,0.2
1528338000,0.2
1528339000,0.2
1528340000,0.2
1528340000,0.2
1528341000,0.2
1528341000,0.2
1528342000,0.4
1528342000,0.2
1528343000,0.2
1528344000,0.2
1528345000,0.2
1528346000,0.2
1528346000,0.2
1528347000,0.4
1528348000,0.2
1528348000,0.2
1528349000,0.2
1528352000,0.2
1528353000,0.2
1528354000,0.2
1528355000,0.2
1528355000,0.2
1528382000,0.2
1528701000,0.2
1528702000,0.2
1528703000,0.2
1528704000,0.2
1528706000,0.2
1528709000,0.2
1528713000,0.2
1528714000,0.2
1528715000,0.2
1528715000,0.2
1528716000,0.2
1528718000,0.2
1528721000,0.2
1528726000,0.2
1528805000,0.2
1528805000,0.2
1528833000,0.2
1528835000,0.2
1528836000,0.2
1528837000,0.2
1528839000,0.2
1528845000,0.2
1528846000,0.2
1528851000,0.2
1528855000,0.2
1528856000,0.2
1528857000,0.2
1528858000,0.2
1528859000,0.2
1528859000,0.2
1528861000,0.2
1528861000,0.4
1528861000,0.2
1528862000,0.2
1528863000,0.2
1528864000,0.2
1528865000,0.2
1528865000,0.2
1528865000,0.2
1528866000,0.2
1528866000,0.2
1528867000,0.2
1528867000,0.2
1528868000,0.2
1528868000,0.2
1528868000,0.6
1528868000,0.4
1528869000,0.2
1528869000,0.2
1528869000,0.4
1528870000,0.4
1528870000,0.2
1528870000,0.2
1528870000,0.2
1528871000,0.2
1528871000,0.2
1528872000,0.4
1528872000,0.4
1528872000,0.2
1528873000,0.4
1528873000,0.4
1528874000,0.2
1528874000,0.4
1528874000,0.4
1528875000,0.8
1528875000,0.2
1528875000,0.6
1528876000,0.6
1528876000,0.2
1528876000,0.2
1528876000,0.2
1528877000,0.2
1528877000,0.2
1528878000,0.2
1528879000,0.4
1528879000,0.2
1528880000,0.2
1528881000,0.2
1528881000,0.2
1528881000,0.2
1528882000,0.4
1528882000,0.2
1528882000,0.2
1528883000,0.2
1528884000,0.2
1528885000,0.2
1528886000,0.4
1528886000,0.2
1528887000,0.2
1528887000,0.2
1528888000,0.2
1528888000,0.2
1528889000,0.2
1528892000,0.2
1528892000,0.2
1528895000,0.2
1528898000,0.2
1528906000,0.2
1528919000,0.4
1528930000,0.2
1528965000,0.2
1529028000,0.2
